iter	MultiClass
0	1.061181046
1	1.02374006
2	0.9937996716
3	0.9568465602
4	0.9284992089
5	0.9048641208
6	0.8824485695
7	0.8576137729
8	0.8320689897
9	0.8120412923
10	0.7920839311
11	0.7748747195
12	0.755358542
13	0.7381931938
14	0.7214642356
15	0.7048485587
16	0.6903758356
17	0.6748252058
18	0.6643488216
19	0.6527973069
20	0.6392857951
21	0.6227815836
22	0.610073396
23	0.6009143179
24	0.589098797
25	0.5760403786
26	0.564304226
27	0.5490178193
28	0.5371232592
29	0.5262603608
30	0.5163167854
31	0.5079485972
32	0.5000343489
33	0.4918299465
34	0.4840025354
35	0.4757227312
36	0.4676989262
37	0.4611978893
38	0.4513643055
39	0.4433001924
40	0.4373097371
41	0.4304642488
42	0.4234302832
43	0.4168645878
44	0.4103080672
45	0.4026539978
46	0.396986063
47	0.3917056303
48	0.382355706
49	0.3765333058
50	0.3703629942
51	0.3657906499
52	0.3606614147
53	0.3536478435
54	0.3489015492
55	0.3429671959
56	0.3382579684
57	0.3341803616
58	0.3304201484
59	0.3251582712
60	0.320939803
61	0.316680852
62	0.311981898
63	0.3088584605
64	0.3037369728
65	0.3005906039
66	0.2968141268
67	0.294170437
68	0.2917091804
69	0.2870203837
70	0.2829706263
71	0.2802090486
72	0.2767121666
73	0.2732004891
74	0.2705336722
75	0.2680781532
76	0.2644387583
77	0.2607793151
78	0.2581045779
79	0.2558276187
80	0.2540431948
81	0.2512701324
82	0.2479711036
83	0.2448837189
84	0.2424581559
85	0.2402464784
86	0.2368663065
87	0.2340153825
88	0.2312144623
89	0.2284942788
90	0.2252139578
91	0.223039935
92	0.2211382621
93	0.2195138284
94	0.2160988577
95	0.2143255473
96	0.211982174
97	0.2098786539
98	0.2070717958
99	0.2053863728
100	0.2034476034
101	0.2004732121
102	0.1980389659
103	0.196324915
104	0.1941769597
105	0.1926086308
106	0.1902242907
107	0.1882462143
108	0.1861059936
109	0.1840932922
110	0.1828118535
111	0.1804474076
112	0.1791860929
113	0.1768680234
114	0.1750483943
115	0.1732120298
116	0.1705765818
117	0.1693392966
118	0.16745179
119	0.1657222987
120	0.1638766707
121	0.1618950048
122	0.1598039967
123	0.1578134232
124	0.1561609903
125	0.1544120895
126	0.1529940924
127	0.1509149453
128	0.1493495123
129	0.1478111176
130	0.1461539647
131	0.1447386713
132	0.1432798592
133	0.1418371728
134	0.1409297393
135	0.1394601768
136	0.1384059965
137	0.1370024208
138	0.1355782376
139	0.1344664668
140	0.1332100847
141	0.1316855296
142	0.1305615964
143	0.1297472601
144	0.1287599931
145	0.1275028541
146	0.1264161782
147	0.1255470179
148	0.1246294159
149	0.1236252806
150	0.1228578067
151	0.1220960262
152	0.1209425612
153	0.1198028218
154	0.1189359534
155	0.1179925659
156	0.1171923678
157	0.1163739394
158	0.1157314092
159	0.1149134682
160	0.1138114673
161	0.1128688793
162	0.1121137098
163	0.1113109746
164	0.1105682266
165	0.1098399197
166	0.1089880523
167	0.1082245583
168	0.1076077911
169	0.1068880366
170	0.1063144508
171	0.1057691377
172	0.1051626976
173	0.1045663481
174	0.1040428484
175	0.1035168304
176	0.1028681662
177	0.102357397
178	0.1019687219
179	0.1014820613
180	0.1009261868
181	0.1004225023
182	0.09980260544
183	0.09930400932
184	0.09860043763
185	0.09807931141
186	0.0976306199
187	0.09695335024
188	0.09642078283
189	0.09596578643
190	0.09529507261
191	0.09487139653
192	0.09436110006
193	0.09373061234
194	0.09330858817
195	0.09285885194
196	0.09241642194
197	0.09204493237
198	0.09147382393
199	0.09090880259
