iter	Passed	Remaining
0	139	27770
1	391	38789
2	656	43138
3	914	44806
4	1166	45494
5	1413	45694
6	1662	45849
7	1908	45805
8	2159	45828
9	2418	45944
10	2681	46069
11	2930	45911
12	3183	45800
13	3428	45555
14	3671	45286
15	3919	45069
16	4164	44829
17	4406	44558
18	4665	44447
19	4928	44353
20	5179	44147
21	5431	43946
22	5673	43660
23	5915	43382
24	6187	43313
25	6439	43094
26	6683	42821
27	6931	42577
28	7181	42345
29	7418	42037
30	7662	41770
31	7908	41518
32	8154	41266
33	8406	41041
34	8653	40796
35	8897	40531
36	9150	40311
37	9399	40070
38	9645	39817
39	9886	39544
40	10131	39291
41	10378	39042
42	10613	38752
43	10859	38503
44	11116	38288
45	11359	38028
46	11603	37773
47	11850	37525
48	12095	37273
49	12339	37019
50	12580	36754
51	12814	36470
52	13052	36202
53	13306	35977
54	13547	35714
55	13791	35463
56	14038	35220
57	14298	35005
58	14547	34766
59	14800	34533
60	15051	34298
61	15298	34051
62	15548	33812
63	15803	33582
64	16049	33334
65	16293	33081
66	16531	32815
67	16775	32563
68	17023	32319
69	17271	32075
70	17512	31819
71	17753	31562
72	17992	31301
73	18241	31059
74	18490	30817
75	18737	30571
76	18985	30326
77	19235	30086
78	19479	29836
79	19723	29585
80	19969	29337
81	20211	29085
82	20465	28848
83	20708	28597
84	20963	28362
85	21208	28113
86	21451	27861
87	21702	27620
88	21954	27381
89	22210	27146
90	22467	26911
91	22720	26672
92	22972	26430
93	23218	26182
94	23461	25931
95	23713	25689
96	23957	25439
97	24196	25184
98	24440	24934
99	24702	24702
100	24953	24458
101	25198	24210
102	25434	23952
103	25684	23709
104	25935	23465
105	26187	23222
106	26452	22991
107	26709	22752
108	26976	22521
109	27224	22274
110	27473	22028
111	27731	21789
112	27981	21543
113	28230	21297
114	28476	21048
115	28729	20803
116	28974	20554
117	29223	20308
118	29465	20056
119	29717	19811
120	29964	19563
121	30218	19319
122	30461	19069
123	30719	18828
124	30963	18577
125	31203	18325
126	31449	18077
127	31704	17833
128	31942	17580
129	32191	17333
130	32440	17086
131	32693	16842
132	32949	16598
133	33197	16351
134	33453	16107
135	33697	15857
136	33941	15608
137	34181	15356
138	34426	15108
139	34688	14866
140	34944	14622
141	35191	14373
142	35432	14123
143	35681	13876
144	35931	13629
145	36188	13384
146	36446	13140
147	36732	12905
148	36983	12658
149	37229	12409
150	37479	12162
151	37735	11916
152	37976	11666
153	38218	11416
154	38465	11167
155	38714	10919
156	38966	10672
157	39218	10425
158	39462	10175
159	39716	9929
160	39979	9684
161	40233	9437
162	40482	9189
163	40728	8940
164	40968	8690
165	41220	8442
166	41467	8194
167	41725	7947
168	41975	7699
169	42232	7452
170	42479	7204
171	42733	6956
172	42981	6708
173	43226	6459
174	43474	6210
175	43746	5965
176	43998	5717
177	44246	5468
178	44489	5219
179	44735	4970
180	44986	4722
181	45236	4473
182	45482	4225
183	45738	3977
184	46005	3730
185	46248	3481
186	46504	3232
187	46754	2984
188	47042	2737
189	47290	2488
190	47537	2239
191	47792	1991
192	48045	1742
193	48293	1493
194	48538	1244
195	48787	995
196	49029	746
197	49269	497
198	49518	248
199	49765	0
